B?NG PQC CÁC S?N PH?M (THÔNG S? QUANG ?I?N),,,,,,,,,,,,,
STT,Tên s?n ph?m,Mã SAP,?i?n áp (VAC),,Dòng ?i?n vào AC,Công suât (W),,H? s? công su?t                    (PF),?i?n áp trên module LED (VDC),,"Dòng ra ML LED
(mA)",,Hi?u su?t ?i?n
,,,Min,Max,mA,Min,Max,,Min,Max,Min,Max,%
1,Driver Bulb A60 8W V1 TC,00037845,218,222,? 90,7.2,8.8, ? 0.45,55,65,112,123, ? 86
2,Driver TR100/20W.EV TC V1,00032982,218,222,? 250,19.0,22, ? 0.45,,,,,
3,Driver BD M26 600/20W V1 TC,00035647,218,222,? 280,18.0,22, ? 0.45,118,142,135,155, ? 90
4,Driver BD M26 1200/40W V1 TC,00035625,218,222,? 550,36.0,44, ? 0.45,118,142,270,310, ? 90
5,Driver BD M36L 120/40W TC,00029051,218,222,? 450,36.0,44, ? 0.45,118,140,280,320, ? 92
6,B? Driver LED dây DR-LD01 60W(12VDC),00039782,218,222,? 160,11.5,14.5, ? 0.45,,,,,
7,Driver AT02-10 ?M 9W IC BP2863SJ-TC,00039558,218,222,? 110,7.6,9.9, ? 0.45,64,76,106,118, ? 85
8,Driver AT10 ?M 12W IC BP2863SJ(SS)-TC,00041093,218,222,? 160,10.8,13.2, ? 0.45,81,96,118,131, ? 85
9,Driver AT06L 5W IC BP2861BJ-TC,00039479,218,222,? 65,4.2,5.5, ? 0.45,47,58,80,90, ? 90
10,Driver Downlight 15W KC-TC,00022963,218,222,? 200,14.4,17.6, ? 0.45,67,79,190,210, ? 90
11,Driver D AT04L 155/16W -TC- Gi?c (EPC13),00027236,218,222,? 200,14.4,17.6, ? 0.45,67,79,190,210, ? 90
12,Driver AT04L 7W-9W DE-TC,00029031,218,222,? 90,6.0,7.7, ? 0.45,40,50,132,146, ? 85
13,Driver AT04-10 7W IC BP2863SJ(DE)-TC,00040386,218,222,? 90,6.4,7.7, ? 0.45,55,65,101,112, ? 85
14,Driver AT04-10 9W IC BP2863SJ(DE)-TC,00040388,218,222,? 110,8.3,9.9, ? 0.45,73,85,97,108, ? 85
15,Driver AT04 12W IC BP2863SJ(DE)-TC,00040390,218,222,? 160,10.8,13.2, ? 0.45,97,114,97,108, ? 85
16,Driver AT06L 7W-9W DE-TC,00030784,218,222,? 90,6.0,7.7, ? 0.45,40,50,132,146, ? 85
17,Driver AT10L CCT - 7W - DE V2-TC,00040761,218,222,? 90,6.4,7.7, ? 0.45,55,65,101,112, ? 85
18,Driver AT02-10 ?M 7W IC BP2863SJ(DE)-TC,00040392,218,222,? 90,6.4,7.7, ? 0.45,55,65,101,112, ? 85
19,Driver AT02-10 ?M 9W IC BP2863SJ(DE)-TC,00040394,218,222,? 110,8.3,9.9, ? 0.45,73,85,97,108, ? 85
20,Driver AT10 ?M 12W IC BP2863SJ(DE)-TC,00040396,218,222,? 160,10.8,13.2, ? 0.45,97,114,97,108, ? 85
21,Driver panel 7W-DE-TC,00039185,218,222,? 90,6.0,7.7, ? 0.45,85,95,61,68, ? 85
22,Driver panel 7W-DE V2-TC,00041068,218,222,? 90,6.0,7.7, ? 0.45,85,95,61,68, ? 85
