KET QUA DO KIEM,,,,,,,,,,
Nguoi kiem tra:,__Tester,,,,,,,,,
Ngay và gio:,240120_160031,,,,,,,,,
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC,,,,,,,,,
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) ,
1,Pass,PPPPPPP,223.95,300,0.61,41,132.95,287.18,287.18,93.123
2,Pass,PPPPPPP,223.87,300,0.613,41.2,131.74,289.57,289.57,92.592
3,Pass,PPPPPPP,223.83,300,0.615,41.3,132.2,290.78,290.78,93.078
4,Pass,PPPPPPP,223.77,300,0.621,41.7,132.11,292.11,292.11,92.544
5,Fail,PFFPFFP,223.85,0,1,0,61.48,0.05,0.05,99
6,Pass,PPPPPPP,223.84,290,0.629,40.8,130.84,284.99,284.99,91.392
7,Pass,PPPPPPP,223.4,290,0.628,40.7,130.68,288.49,288.49,92.629
8,Pass,PPPPPPP,223.4,290,0.61,39.5,129.31,283.58,283.58,92.835
9,Pass,PPPPPPP,223.3,300,0.612,41,130.37,291,291,92.531
10,Pass,PPPPPPP,223.24,300,0.62,41.5,130.59,293.83,293.83,92.461
11,Pass,PPPPPPP,223.28,290,0.627,40.6,131.58,284.64,284.64,92.249
12,Pass,PPPPPPP,223.4,300,0.613,41.1,129.93,292.29,292.29,92.402
13,Pass,PPPPPPP,224.65,300,0.595,40.1,129.61,286.46,286.46,92.589
14,Pass,PPPPPPP,224.57,300,0.613,41.3,129.26,297.98,297.98,93.261
