KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_160053
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,224.770,290.000,0.629,41.000,133.090,287.200,287.200,93.228
2,Pass,PPPPPPP,224.720,300.000,0.611,41.200,131.840,289.620,289.620,92.678
3,Pass,PPPPPPP,224.460,300.000,0.615,41.400,132.260,290.830,290.830,92.911
4,Pass,PPPPPPP,224.560,300.000,0.618,41.600,132.180,291.930,291.930,92.758
5,Fail,PFFPFFP,224.290,0.000,1.000,0.000,74.280,0.090,0.090,99.000
6,Pass,PPPPPPP,224.540,290.000,0.628,40.900,130.910,284.920,284.920,91.195
7,Pass,PPPPPPP,224.850,290.000,0.624,40.700,130.750,288.440,288.440,92.662
8,Pass,PPPPPPP,224.620,290.000,0.606,39.500,129.390,283.580,283.580,92.892
9,Pass,PPPPPPP,224.720,290.000,0.629,41.000,130.440,291.070,291.070,92.603
10,Pass,PPPPPPP,224.640,300.000,0.616,41.500,130.650,293.950,293.950,92.541
11,Pass,PPPPPPP,224.550,290.000,0.627,40.800,131.600,284.620,284.620,91.804
12,Pass,PPPPPPP,224.330,300.000,0.612,41.200,129.980,292.240,292.240,92.197
13,Pass,PPPPPPP,225.380,290.000,0.614,40.100,129.690,286.570,286.570,92.681
14,Pass,PPPPPPP,225.530,300.000,0.609,41.200,129.310,297.920,297.920,93.505
