KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio:,240120_160809
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,223.890,350.000,0.524,41.100,133.830,287.240,93.531
2,Pass,PPPPPPP,223.680,300.000,0.618,41.500,132.440,289.590,92.418
3,Pass,PPPPPPP,223.680,300.000,0.624,41.900,132.580,290.820,92.021
4,Pass,PPPPPPP,223.620,300.000,0.628,42.100,132.420,292.160,91.895
5,Fail,PFFPFFP,223.660,0.000,1.000,0.000,100.970,0.140,99.000
6,Pass,PPPPPPP,223.760,290.000,0.629,40.800,131.120,284.430,91.408
7,Pass,PPPPPPP,224.000,290.000,0.628,40.800,130.970,288.640,92.655
8,Pass,PPPPPPP,224.020,290.000,0.613,39.800,129.580,283.690,92.363
9,Pass,PPPPPPP,224.310,290.000,0.630,41.000,130.490,291.110,92.651
10,Pass,PPPPPPP,223.850,300.000,0.618,41.500,130.690,294.250,92.664
11,Pass,PPPPPPP,223.880,290.000,0.628,40.800,131.770,285.050,92.061
12,Pass,PPPPPPP,223.910,300.000,0.613,41.200,130.010,292.150,92.190
13,Pass,PPPPPPP,224.650,310.000,0.580,40.400,129.680,286.480,91.957
14,Pass,PPPPPPP,224.800,300.000,0.612,41.300,129.330,298.130,93.359
