KET QUA DO KIEM
Nguoi kiem tra:,Nguyen Ngoc Hung
Ngay và gio kiem tra:,240120_211848
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
2,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
3,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
4,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
5,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
6,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
7,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
8,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
9,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
10,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
11,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
12,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
13,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
14,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
15,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
16,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
17,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
18,Pass,PPPPPPP,220.080,280.000,0.623,38.391,128.090,292.000,97.425
