KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240326_184245
SAP ID:,00032982-Driver TR100/20W.EV TC V1
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
2,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
3,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
4,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
5,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
6,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
7,Fail,FFFFPPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
8,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
9,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
10,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
11,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
12,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
13,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
14,Fail,FFFFPPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
15,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
16,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
17,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
18,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
19,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
20,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
21,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
22,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
23,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
24,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
25,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
26,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
27,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
28,Fail,FFFFPPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
29,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
30,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
31,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
32,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
33,Fail,FFFFPPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
34,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
35,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
36,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
37,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
38,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
39,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
40,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
41,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
42,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
43,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
44,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
45,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
46,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
47,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
48,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
49,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
50,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
51,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
52,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
53,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
54,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
55,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
56,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
57,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
58,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
59,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
60,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
