KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240326_184716
SAP ID:,00018946-Driver PNL 320x1280-50W V1 KC RD
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
2,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
3,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
4,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
5,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
6,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
7,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
8,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
9,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
10,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
11,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
12,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
13,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
14,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
15,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
16,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
17,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
18,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
19,Fail,PPFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
