KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240326_205420
SAP ID:,00040386-Driver AT04-10 7W IC BP2863SJ(DE)-TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
2,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
3,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
4,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
5,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
6,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
7,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
8,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
9,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
10,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
11,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
12,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
13,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
14,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
15,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
16,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
17,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
18,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
19,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
20,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
21,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
22,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
23,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
24,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
25,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
26,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
27,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
28,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
29,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
30,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
31,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
32,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
33,Fail,FFFFFPP,0.000,0.000,0.000,0.000,0.000,0.000,NaN
34,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
35,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
36,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
37,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
38,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
39,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
40,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
41,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
42,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
43,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
44,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
45,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
46,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
47,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
48,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
49,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
50,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
51,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
52,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
53,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
54,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
55,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
56,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
57,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
58,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
59,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
60,Fail,PFFPFPP,220.080,174.440,1.000,38.391,128.090,292.000,97.425
