KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240508_174315
SAP ID:,Driver BD M26 1200/40W V1 TC-00035625,FAIL
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(mA) ,Efficient(%) 
1,Pass,PPPPPPP,220.350,335.300,0.566,41.800,134.060,296.700,95.157
2,Pass,PPPPPPP,220.250,335.650,0.569,42.100,133.600,299.160,94.935
3,Pass,PPPPPPP,220.260,335.300,0.569,42.000,132.760,296.010,93.567
4,Pass,PPPPPPP,220.170,344.160,0.557,42.200,132.620,297.270,93.422
5,Pass,PPPPPPP,220.190,336.000,0.566,41.900,132.080,297.400,93.748
6,Pass,PPPPPPP,220.270,336.000,0.573,42.400,131.940,298.480,92.881
7,Fail,PFFPFFF,220.460,0.000,1.000,0.000,0.000,0.010,NaN
8,Pass,PPPPPPP,220.400,334.950,0.564,41.600,131.130,299.170,94.303
9,Pass,PPPPPPP,220.430,334.950,0.567,41.900,130.950,300.330,93.862
10,Pass,PPPPPPP,220.460,334.600,0.557,41.100,130.760,295.170,93.909
11,Pass,PPPPPPP,220.330,326.400,0.574,41.300,130.540,297.050,93.891
12,Pass,PPPPPPP,220.390,325.720,0.570,40.900,130.390,294.900,94.015
13,Pass,PPPPPPP,221.000,315.480,0.595,41.500,132.710,294.890,94.301
14,Fail,PFFPFFF,220.960,0.000,1.000,0.000,13.860,0.000,NaN
