KET QUA DO KIEM
Nguoi kiem tra:,Nguyen Van Tan
Ngay và gio kiem tra:,240508_175513
SAP ID:,Driver BD M36L 120/40W TC-00029051,FAIL
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(mA) ,Efficient(%) 
1,Pass,PPPPPPP,220.300,335.300,0.566,41.800,134.170,296.650,95.219
2,Pass,PPPPPPP,220.240,345.240,0.560,42.600,133.670,299.150,93.867
3,Pass,PPPPPPP,220.270,335.300,0.569,42.000,132.810,295.940,93.580
4,Pass,PPPPPPP,220.180,334.950,0.568,41.900,132.650,297.250,94.106
5,Pass,PPPPPPP,220.200,336.000,0.569,42.100,132.070,297.360,93.283
6,Pass,PPPPPPP,220.280,336.000,0.572,42.300,131.930,298.470,93.090
7,Fail,PPFFFFP,220.550,10.000,0.000,0.000,0.020,0.010,99.000
8,Pass,PPPPPPP,220.480,334.950,0.562,41.500,130.960,299.150,94.402
9,Pass,PPPPPPP,220.460,344.520,0.529,40.200,130.780,300.300,97.695
10,Pass,PPPPPPP,220.430,315.150,0.590,41.000,130.610,295.120,94.014
11,Pass,PPPPPPP,220.440,326.400,0.574,41.300,130.380,296.990,93.757
12,Pass,PPPPPPP,220.500,325.380,0.573,41.100,130.230,294.850,93.427
13,Pass,PPPPPPP,220.980,306.240,0.604,40.900,132.530,294.960,95.577
14,Fail,PFFPFFF,220.970,0.000,1.000,0.000,3.510,0.000,NaN
15,Fail,PFFPFFF,220.950,0.000,1.000,0.000,0.570,0.000,NaN
16,Fail,PFFPFFF,220.880,0.000,1.000,0.000,55.300,0.000,NaN
17,Fail,PFFPFFF,220.890,0.000,1.000,0.000,0.690,0.000,NaN
