KET QUA DO KIEM
Nguoi kiem tra:,Nguyen Van Tan
Ngay và gio kiem tra:,240508_175621
SAP ID:,Driver BD M26 1200/40W V1 TC-00035625,PASS
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(mA) ,Efficient(%) 
1,Pass,PPPPPPP,220.510,335.300,0.567,41.900,133.780,296.500,94.668
2,Pass,PPPPPPP,220.420,335.650,0.569,42.100,133.280,298.970,94.648
3,Pass,PPPPPPP,220.310,334.950,0.564,41.600,132.580,295.810,94.275
4,Pass,PPPPPPP,220.350,334.950,0.568,41.900,132.450,297.040,93.897
5,Pass,PPPPPPP,220.380,336.000,0.566,41.900,131.880,297.220,93.550
6,Pass,PPPPPPP,220.450,336.000,0.567,42.000,131.750,298.320,93.580
7,Pass,PPPPPPP,220.560,334.950,0.564,41.700,131.200,299.350,94.184
8,Pass,PPPPPPP,220.510,335.300,0.559,41.300,130.910,298.990,94.772
9,Pass,PPPPPPP,220.540,335.300,0.565,41.800,130.770,300.090,93.882
10,Pass,PPPPPPP,220.470,334.950,0.555,41.000,130.590,294.910,93.932
11,Pass,PPPPPPP,220.480,326.740,0.572,41.200,130.350,296.830,93.912
12,Pass,PPPPPPP,220.540,326.060,0.569,40.900,130.200,294.650,93.798
13,Pass,PPPPPPP,221.090,316.140,0.581,40.600,129.980,294.880,94.405
14,Pass,PPPPPPP,221.030,316.140,0.587,41.000,129.830,296.270,93.816
