KET QUA DO KIEM
Nguoi kiem tra:,Nguyen Van Tan
Ngay và gio kiem tra:,240508_175936
SAP ID:,Driver BD M26 1200/40W V1 TC-00035625,FAIL
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(mA) ,Efficient(%) 
1,Fail,PFFPFFF,221.230,0.000,1.000,0.000,0.150,0.000,NaN
2,Fail,PFFPFFF,221.170,0.000,1.000,0.000,-0.040,0.010,-Inf
3,Fail,PFFPFFF,221.180,0.000,1.000,0.000,0.520,0.000,NaN
4,Fail,PFFPFFF,221.090,0.000,1.000,0.000,-0.120,0.010,-Inf
5,Fail,PFFPFFF,221.110,0.000,1.000,0.000,0.880,0.000,NaN
6,Fail,PFFPFFF,221.200,0.000,1.000,0.000,0.010,0.000,NaN
7,Fail,PFFPFFF,221.080,0.000,1.000,0.000,-0.610,0.000,NaN
8,Pass,PPPPPPP,221.060,317.130,0.588,41.200,132.920,288.970,93.228
9,Fail,PFFPFFP,221.030,0.000,1.000,0.000,3.080,0.010,99.000
10,Fail,PFFFFFF,220.970,NaN,NaN,0.000,-0.120,0.000,NaN
11,Fail,PFFPFFF,220.990,0.000,1.000,0.000,0.250,0.000,NaN
12,Fail,PFFPFFF,221.060,0.000,1.000,0.000,-0.480,0.000,NaN
13,Pass,PPPPPPP,220.390,335.300,0.570,42.100,134.380,296.680,94.698
14,Pass,PPPPPPP,220.340,336.000,0.565,41.800,131.320,299.280,94.023
15,Pass,PPPPPPP,220.350,335.300,0.566,41.800,132.850,295.980,94.069
16,Pass,PPPPPPP,220.270,334.600,0.571,42.100,132.730,297.250,93.715
17,Pass,PPPPPPP,220.280,336.350,0.567,42.000,132.170,297.360,93.576
18,Pass,PPPPPPP,220.350,336.000,0.570,42.200,132.010,298.430,93.355
19,Pass,PPPPPPP,220.560,334.950,0.564,41.700,131.430,299.540,94.409
20,Pass,PPPPPPP,220.350,335.300,0.559,41.300,130.390,299.200,94.462
21,Pass,PPPPPPP,220.360,335.650,0.565,41.800,130.940,300.280,94.064
22,Pass,PPPPPPP,220.280,334.950,0.556,41.000,130.770,295.130,94.132
23,Pass,PPPPPPP,220.300,326.740,0.575,41.400,130.540,296.970,93.639
24,Pass,PPPPPPP,220.390,326.060,0.571,41.000,130.410,294.830,93.778
25,Pass,PPPPPPP,220.960,316.140,0.583,40.700,130.220,295.100,94.417
26,Pass,PPPPPPP,220.910,316.140,0.583,40.700,129.700,296.420,94.461
27,Fail,PFFPFFF,220.910,0.000,1.000,0.000,8.940,0.000,NaN
28,Fail,PFFFFFF,220.840,NaN,NaN,0.000,54.620,0.000,NaN
