KET QUA DO KIEM
Nguoi kiem tra:,__Tester
Ngay và gio kiem tra:,240122_153514
SAP ID:,00035625-Driver BD M26 1200/40W V1 TC
STT ,General ,subTest ,ACV(V),ACI(mA),PF ,POWER(W) ,DCV(V) ,DCI(V) ,Efficient(%) 
1,Pass,PPPPPPP,222.460,300.000,0.634,42.300,135.500,289.620,92.774
2,Pass,PPPPPPP,222.340,300.000,0.640,42.700,134.120,291.720,91.629
3,Pass,PPPPPPP,222.290,300.000,0.643,42.900,133.510,293.120,91.222
4,Pass,PPPPPPP,222.170,310.000,0.626,43.100,133.400,293.950,90.981
5,Fail,PFFPFFP,222.380,0.000,1.000,0.000,95.360,0.090,99.000
6,Pass,PPPPPPP,222.540,300.000,0.626,41.800,131.940,286.710,90.499
7,Pass,PPPPPPP,222.320,290.000,0.648,41.800,131.780,290.990,91.738
8,Pass,PPPPPPP,221.850,290.000,0.633,40.700,130.190,285.520,91.331
9,Pass,PPPPPPP,221.860,300.000,0.628,41.800,130.980,293.720,92.037
10,Pass,PPPPPPP,222.100,300.000,0.636,42.400,131.090,296.390,91.636
11,Pass,PPPPPPP,221.870,290.000,0.650,41.800,132.420,287.600,91.110
12,Pass,PPPPPPP,222.060,300.000,0.632,42.100,130.410,294.470,91.216
13,Pass,PPPPPPP,223.570,300.000,0.614,41.200,130.380,289.890,91.738
14,Pass,PPPPPPP,223.400,300.000,0.633,42.400,129.910,300.960,92.212
